fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,289.0,-4305.224226116775,-23398.738839691185,1,1,389.08,0.0
2,,,,290.0,-4275.224226116775,-23368.738839691185,2,1,389.079,0.0
61,,,,1300.0,-3502.224226116775,-22595.738839691185,61,1,388.981,0.0
64,,,,1332.0,-3472.224226116775,-22565.738839691185,64,1,388.9,0.0
65,,,,1339.0,-3462.224226116775,-22555.738839691185,65,1,388.86,0.0
67,,,,1358.0,-3442.224226116775,-22535.738839691185,67,1,388.764,0.0
68,,,,1358.0,-3432.224226116775,-22525.738839691185,68,1,388.658,0.0
69,,,,1364.0,-3422.224226116775,-22515.738839691185,69,1,388.608,0.0
79,,,,1497.0,-3322.224226116775,-22415.738839691185,79,1,388.54,0.0
80,,,,1510.0,-3312.224226116775,-22405.738839691185,80,1,388.479,0.0
84,,,,1605.0,-3271.224226116775,-22364.738839691185,84,1,388.356,0.0
85,,,,1631.0,-3261.224226116775,-22354.738839691185,85,1,388.338,0.0
86,,,,1659.0,-3251.224226116775,-22344.738839691185,86,1,388.257,0.0
88,,,,1704.0,-3231.224226116775,-22324.738839691185,88,1,388.137,0.0
89,,,,1731.0,-3221.224226116775,-22314.738839691185,89,1,388.114,0.0
90,,,,1760.0,-3211.224226116775,-22304.738839691185,90,1,388.045,0.0
91,,,,1793.0,-3201.224226116775,-22294.738839691185,91,1,387.909,0.0
92,,,,1819.0,-3191.224226116775,-22284.738839691185,92,1,387.873,0.0
93,,,,1854.0,-3181.224226116775,-22274.738839691185,93,1,387.733,0.0
95,,,,1912.0,-3161.224226116775,-22254.738839691185,95,1,387.595,0.0
96,,,,1944.0,-3151.224226116775,-22244.738839691185,96,1,387.54,0.0
97,,,,1975.0,-3141.224226116775,-22234.738839691185,97,1,387.513,0.0
98,,,,2002.0,-3131.224226116775,-22224.738839691185,98,1,387.37,0.0
99,,,,2026.0,-3121.224226116775,-22214.738839691185,99,1,387.369,0.0
100,,,,2056.0,-3111.224226116775,-22204.738839691185,100,1,387.246,0.0
103,,,,2064.0,-3081.224226116775,-22174.738839691185,103,1,387.139,0.0
104,,,,2097.0,-3071.224226116775,-22164.738839691185,104,1,387.088,0.0
106,,,,2135.0,-3051.224226116775,-22144.738839691185,106,1,386.92,0.0
107,,,,2174.0,-3041.224226116775,-22134.738839691185,107,1,386.914,0.0
108,,,,2197.0,-3031.224226116775,-22124.738839691185,108,1,386.776,0.0
109,,,,2235.0,-3021.224226116775,-22114.738839691185,109,1,386.745,0.0
110,,,,2267.0,-3011.224226116775,-22104.738839691185,110,1,386.618,0.0
111,,,,2296.0,-3000.224226116775,-22093.738839691185,111,1,386.596,0.0
112,,,,2330.0,-2990.224226116775,-22083.738839691185,112,1,386.495,0.0
113,,,,2359.0,-2980.224226116775,-22073.738839691185,113,1,386.466,0.0
114,,,,2389.0,-2970.224226116775,-22063.738839691185,114,1,386.395,0.0
116,,,,2410.0,-2950.224226116775,-22043.738839691185,116,1,386.255,0.0
118,,,,2397.0,-2930.224226116775,-22023.738839691185,118,1,386.228,0.0
119,,,,2394.0,-2920.224226116775,-22013.738839691185,119,1,386.163,0.0
144,,,,2657.0,-2669.224226116775,-21762.738839691185,144,1,386.107,0.0
146,,,,2697.0,-2649.224226116775,-21742.738839691185,146,1,386.062,0.0
147,,,,2736.0,-2639.224226116775,-21732.738839691185,147,1,385.963,0.0
149,,,,2779.0,-2619.224226116775,-21712.738839691185,149,1,385.83,0.0
152,,,,2851.0,-2589.224226116775,-21682.738839691185,152,1,385.77,0.0
153,,,,2886.0,-2579.224226116775,-21672.738839691185,153,1,385.767,0.0
154,,,,2920.0,-2569.224226116775,-21662.738839691185,154,1,385.738,0.0
155,,,,2953.0,-2559.224226116775,-21652.738839691185,155,1,385.65,0.0
157,,,,3013.0,-2539.224226116775,-21632.738839691185,157,1,385.551,0.0
159,,,,3067.0,-2519.224226116775,-21612.738839691185,159,1,385.499,0.0
161,,,,3124.0,-2499.224226116775,-21592.738839691185,161,1,385.389,0.0
163,,,,3159.0,-2479.224226116775,-21572.738839691185,163,1,385.328,0.0
165,,,,3195.0,-2459.224226116775,-21552.738839691185,165,1,385.298,0.0
166,,,,3215.0,-2449.224226116775,-21542.738839691185,166,1,385.117,0.0
169,,,,3266.0,-2419.224226116775,-21512.738839691185,169,1,385.05,0.0
177,,,,3427.0,-2338.224226116775,-21431.738839691185,177,1,384.981,0.0
238,,,,2979.0,-1727.224226116775,-20820.738839691185,238,1,384.849,0.0
239,,,,3009.0,-1717.224226116775,-20810.738839691185,239,1,384.686,0.0
241,,,,3052.0,-1697.224226116775,-20790.738839691185,241,1,384.637,0.0
242,,,,3054.0,-1686.224226116775,-20779.738839691185,242,1,384.462,0.0
244,,,,3103.0,-1666.224226116775,-20759.738839691185,244,1,384.395,0.0
246,,,,3137.0,-1646.224226116775,-20739.738839691185,246,1,384.349,0.0
248,,,,3164.0,-1626.224226116775,-20719.738839691185,248,1,384.323,0.0
251,,,,3194.0,-1596.224226116775,-20689.738839691185,251,1,384.306,0.0
308,,,,2926.0,-1024.224226116775,-20117.738839691185,308,1,384.296,0.0
311,,,,2977.0,-994.224226116775,-20087.738839691185,311,1,384.28,0.0
315,,,,3030.0,-954.224226116775,-20047.738839691185,315,1,384.223,0.0
316,,,,3038.0,-944.224226116775,-20037.738839691185,316,1,384.11,0.0
320,,,,3081.0,-904.224226116775,-19997.738839691185,320,1,384.1,0.0
324,,,,3104.0,-864.224226116775,-19957.738839691185,324,1,384.007,0.0
329,,,,3148.0,-814.224226116775,-19907.738839691185,329,1,383.958,0.0
330,,,,3152.0,-804.224226116775,-19897.738839691185,330,1,383.909,0.0
336,,,,3129.0,-744.224226116775,-19837.738839691185,336,1,383.739,0.0
337,,,,3117.0,-733.224226116775,-19826.738839691185,337,1,383.538,0.0
338,,,,3099.0,-723.224226116775,-19816.738839691185,338,1,383.304,0.0
339,,,,3089.0,-713.224226116775,-19806.738839691185,339,1,383.096,0.0
340,,,,3080.0,-703.224226116775,-19796.738839691185,340,1,382.915,0.0
341,,,,3073.0,-693.224226116775,-19786.738839691185,341,1,382.73,0.0
342,,,,3068.0,-683.224226116775,-19776.738839691185,342,1,382.529,0.0
343,,,,3066.0,-673.224226116775,-19766.738839691185,343,1,382.325,0.0
344,,,,3064.0,-663.224226116775,-19756.738839691185,344,1,382.131,0.0
345,,,,3065.0,-653.224226116775,-19746.738839691185,345,1,381.956,0.0
346,,,,3059.0,-643.224226116775,-19736.738839691185,346,1,381.786,0.0
347,,,,3067.0,-633.224226116775,-19726.738839691185,347,1,381.655,0.0
350,,,,3086.0,-603.224226116775,-19696.738839691185,350,1,381.527,0.0
351,,,,3088.0,-593.224226116775,-19686.738839691185,351,1,381.318,0.0
353,,,,3098.0,-573.224226116775,-19666.738839691185,353,1,381.303,0.0
354,,,,3092.0,-563.224226116775,-19656.738839691185,354,1,381.206,0.0
355,,,,3095.0,-553.224226116775,-19646.738839691185,355,1,381.106,0.0
356,,,,3106.0,-543.224226116775,-19636.738839691185,356,1,380.921,0.0
360,,,,3115.0,-503.224226116775,-19596.738839691185,360,1,380.73,0.0
361,,,,3131.0,-493.224226116775,-19586.738839691185,361,1,380.513,0.0
362,,,,3156.0,-483.224226116775,-19576.738839691185,362,1,380.443,0.0
363,,,,3179.0,-473.224226116775,-19566.738839691185,363,1,380.381,0.0
364,,,,3193.0,-463.224226116775,-19556.738839691185,364,1,380.183,0.0
367,,,,3248.0,-432.224226116775,-19525.738839691185,367,1,380.043,0.0
369,,,,3280.0,-412.224226116775,-19505.738839691185,369,1,379.904,0.0
371,,,,3304.0,-392.224226116775,-19485.738839691185,371,1,379.886,0.0
372,,,,3317.0,-382.224226116775,-19475.738839691185,372,1,379.801,0.0
375,,,,3381.0,-352.224226116775,-19445.738839691185,375,1,379.77,0.0
377,,,,3421.0,-332.224226116775,-19425.738839691185,377,1,379.695,0.0
378,,,,3442.0,-322.224226116775,-19415.738839691185,378,1,379.647,0.0
380,,,,3489.0,-302.224226116775,-19395.738839691185,380,1,379.481,0.0
383,,,,3525.0,-272.224226116775,-19365.738839691185,383,1,379.298,0.0
386,,,,3531.0,-242.224226116775,-19335.738839691185,386,1,379.224,0.0
387,,,,3540.0,-232.224226116775,-19325.738839691185,387,1,379.174,0.0
414,,,,3168.0,21.775773883225,-19071.738839691185,1,2,379.019,2559.0870958153714
415,,,,3157.0,31.775773883225,-19061.738839691185,2,2,378.802,5225.435676570829
416,,,,3159.0,41.775773883225,-19051.738839691185,3,2,378.567,7435.323881189027
417,,,,3148.0,51.775773883225,-19041.738839691185,4,2,378.311,10032.113711409142
418,,,,3144.0,61.775773883225,-19031.738839691185,5,2,378.054,12008.333535788901
419,,,,3137.0,71.775773883225,-19021.738839691185,6,2,377.803,13617.307501131969
420,,,,3123.0,81.775773883225,-19011.738839691185,7,2,377.564,14763.202316811667
421,,,,3121.0,91.775773883225,-19001.738839691185,8,2,377.33,16211.749565656544
422,,,,3112.0,101.775773883225,-18991.738839691185,9,2,377.085,18811.38676125808
423,,,,3095.0,111.775773883225,-18981.738839691185,10,2,376.833,21235.981509408306
424,,,,3086.0,121.775773883225,-18971.738839691185,11,2,376.569,24220.97346112566
425,,,,3075.0,131.775773883225,-18961.738839691185,12,2,376.319,24803.09971184838
426,,,,3068.0,141.775773883225,-18951.738839691185,13,2,376.077,25814.509090329586
427,,,,3051.0,151.775773883225,-18941.738839691185,14,2,375.829,28302.036529284076
428,,,,3055.0,161.775773883225,-18931.738839691185,15,2,375.576,30754.458719803635
429,,,,3062.0,171.775773883225,-18921.738839691185,16,2,375.475,13030.249041827656
430,,,,3075.0,181.775773883225,-18911.738839691185,17,2,375.471,546.0151611806564
431,,,,3080.0,192.775773883225,-18900.738839691185,18,2,375.266,29668.40076234069
432,,,,3074.0,202.775773883225,-18890.738839691185,19,2,375.116,22823.893613711512
433,,,,3045.0,212.775773883225,-18880.738839691185,20,2,374.958,25216.416979503803
434,,,,3014.0,222.775773883225,-18870.738839691185,21,2,374.786,28728.265568064657
435,,,,2973.0,232.775773883225,-18860.738839691185,22,2,374.618,29306.440136600082
436,,,,2927.0,242.775773883225,-18850.738839691185,23,2,374.42,36005.95946334893
437,,,,2915.0,252.775773883225,-18840.738839691185,24,2,374.218,38225.9850612944
438,,,,2898.0,262.775773883225,-18830.738839691185,25,2,374.043,34409.351084788505
439,,,,2884.0,272.775773883225,-18820.738839691185,26,2,373.884,32438.60223107058
440,,,,2886.0,282.775773883225,-18810.738839691185,27,2,373.704,38051.95954424768
441,,,,2893.0,292.775773883225,-18800.738839691185,28,2,373.504,43752.88009034487
442,,,,2884.0,302.775773883225,-18790.738839691185,29,2,373.364,31658.695136416078
443,,,,2888.0,312.775773883225,-18780.738839691185,30,2,373.165,46465.740954542336
445,,,,2923.0,332.775773883225,-18760.738839691185,32,2,373.073,22846.35337150872
446,,,,2941.0,342.775773883225,-18750.738839691185,33,2,372.932,36055.45420859195
448,,,,2978.0,362.775773883225,-18730.738839691185,35,2,372.929,811.7409044645145
449,,,,2984.0,372.775773883225,-18720.738839691185,36,2,372.852,21406.69988552471
451,,,,2955.0,392.775773883225,-18700.738839691185,38,2,372.813,11422.286749869034
452,,,,2977.0,402.775773883225,-18690.738839691185,39,2,372.6,63949.90546070191
453,,,,2994.0,412.775773883225,-18680.738839691185,40,2,372.469,40288.58273236229
456,,,,3084.0,442.775773883225,-18650.738839691185,43,2,372.391,25724.865108895
457,,,,3104.0,452.775773883225,-18640.738839691185,44,2,372.273,39785.5666281897
462,,,,3147.0,502.775773883225,-18590.738839691185,49,2,372.189,31440.986486840084
463,,,,3187.0,512.775773883225,-18580.738839691185,50,2,372.105,32059.098275119068
466,,,,3272.0,542.775773883225,-18550.738839691185,53,2,372.053,21003.368585760883
469,,,,3322.0,572.775773883225,-18520.738839691185,56,2,371.981,30683.85481047223
471,,,,3349.0,592.775773883225,-18500.738839691185,58,2,371.962,8378.83636345256
472,,,,3379.0,602.775773883225,-18490.738839691185,59,2,371.851,49767.12269362927
474,,,,3413.0,622.775773883225,-18470.738839691185,61,2,371.776,34733.46603040431
475,,,,3429.0,632.775773883225,-18460.738839691185,62,2,371.631,68209.44126162316
476,,,,3431.0,642.775773883225,-18450.738839691185,63,2,371.445,88839.41267744334
477,,,,3451.0,652.775773883225,-18440.738839691185,64,2,371.235,101808.73746698473
478,,,,3481.0,662.775773883225,-18430.738839691185,65,2,371.036,97899.88805476503
479,,,,3477.0,672.775773883225,-18420.738839691185,66,2,370.836,99822.70178445351
480,,,,3468.0,682.775773883225,-18410.738839691185,67,2,370.616,111374.00188141211
481,,,,3455.0,692.775773883225,-18400.738839691185,68,2,370.396,112938.13558647122
482,,,,3442.0,702.775773883225,-18390.738839691185,69,2,370.176,114500.3332915887
483,,,,3434.0,712.775773883225,-18380.738839691185,70,2,369.965,111314.01512618228
484,,,,3432.0,722.775773883225,-18370.738839691185,71,2,369.729,126173.36517567432
